age,gender,tenure_months,contract_type,monthly_charges,total_charges,internet_service,payment_method,support_calls,late_payments,online_security,tech_support,streaming_service,senior_citizen,family_members,churn
56,Female,9,Month-to-month,95.66,5386.54,No,Credit card,2,0,No,Yes,No,1,5,0
46,Female,42,One year,67.43,5150.17,DSL,Mailed check,2,1,Yes,No,Yes,0,5,0
32,Male,46,Two year,147.75,2835.85,No,Credit card,6,1,No,Yes,Yes,0,2,1
25,Female,21,Two year,146.54,4846.23,Fiber optic,Credit card,1,2,No,No,No,1,2,0
38,Female,22,Month-to-month,23.52,5332.26,DSL,Electronic check,3,1,No,Yes,No,0,3,1
56,Male,29,Month-to-month,114.64,8516.03,No,Bank transfer,0,1,No,Yes,Yes,0,1,0
75,Female,63,Two year,126.16,6901.12,Fiber optic,Bank transfer,0,4,Yes,Yes,Yes,0,5,0
36,Male,61,Month-to-month,26.91,4000.63,Fiber optic,Mailed check,1,1,Yes,No,Yes,1,2,0
40,Female,64,Month-to-month,95.27,4344.23,No,Bank transfer,3,0,Yes,Yes,Yes,0,1,0
28,Female,69,One year,124.25,5866.52,No,Mailed check,3,2,No,No,No,0,3,1
28,Female,40,Month-to-month,92.94,1881.77,Fiber optic,Mailed check,4,0,No,No,No,1,3,1
41,Male,1,Month-to-month,28.3,888.99,No,Electronic check,0,1,Yes,Yes,No,0,4,0
70,Male,65,Two year,110.15,2870.0,Fiber optic,Mailed check,2,1,Yes,Yes,Yes,0,2,0
53,Male,62,One year,27.88,7027.61,Fiber optic,Electronic check,1,0,No,Yes,Yes,0,2,0
57,Male,54,Two year,126.27,2390.18,Fiber optic,Bank transfer,5,1,No,Yes,Yes,0,1,0
41,Male,60,Month-to-month,25.59,1263.76,DSL,Electronic check,4,0,No,Yes,No,1,4,0
20,Male,46,Month-to-month,37.86,2049.3,DSL,Credit card,0,0,No,No,Yes,0,3,0
39,Female,5,Two year,55.76,6142.86,Fiber optic,Electronic check,1,1,Yes,No,Yes,0,5,0
70,Male,22,Month-to-month,102.34,5564.14,DSL,Mailed check,1,2,Yes,Yes,No,0,4,0
19,Female,53,Month-to-month,146.93,6226.0,Fiber optic,Bank transfer,2,2,Yes,Yes,No,0,4,1
