customer_id,age,gender,tenure_months,contract_type,monthly_charges,total_charges,internet_service,payment_method,support_calls,late_payments,online_security,tech_support,streaming_service,senior_citizen,family_members,churn
C100000,56,Female,9,Month-to-month,95.66,5386.54,No,Credit card,2,0,No,Yes,No,1,5,0
C100001,69,Female,25,Month-to-month,138.94,388.14,Fiber optic,Mailed check,2,0,,Yes,No,0,4,1
C100002,46,Female,42,One year,67.43,5150.17,DSL,Mailed check,2,1,Yes,No,Yes,0,5,0
C100003,32,Male,46,Two year,147.75,2835.85,No,Credit card,6,1,No,Yes,Yes,0,2,1
C100004,60,Female,59,Month-to-month,94.86,7995.61,DSL,Credit card,1,2,No,,Yes,0,5,0
C100005,25,Female,21,Two year,146.54,4846.23,Fiber optic,Credit card,1,2,No,No,No,1,2,0
C100006,38,Female,22,Month-to-month,23.52,5332.26,DSL,Electronic check,3,1,No,Yes,No,0,3,1
C100007,56,Male,29,Month-to-month,114.64,8516.03,No,Bank transfer,0,1,No,Yes,Yes,0,1,0
C100008,75,Female,63,Two year,126.16,6901.12,Fiber optic,Bank transfer,0,4,Yes,Yes,Yes,0,5,0
C100009,36,Male,61,Month-to-month,26.91,4000.63,Fiber optic,Mailed check,1,1,Yes,No,Yes,1,2,0
C100010,40,Female,64,Month-to-month,95.27,4344.23,No,Bank transfer,3,0,Yes,Yes,Yes,0,1,0
C100011,28,Female,69,One year,124.25,5866.52,No,Mailed check,3,2,No,No,No,0,3,1
C100012,28,Female,40,Month-to-month,92.94,1881.77,Fiber optic,Mailed check,4,0,No,No,No,1,3,1
C100013,41,Male,1,Month-to-month,28.3,888.99,No,Electronic check,0,1,Yes,Yes,No,0,4,0
C100014,70,Male,65,Two year,110.15,2870.0,Fiber optic,Mailed check,2,1,Yes,Yes,Yes,0,2,0
C100015,53,Male,62,One year,27.88,7027.61,Fiber optic,Electronic check,1,0,No,Yes,Yes,0,2,0
C100016,57,Male,54,Two year,126.27,2390.18,Fiber optic,Bank transfer,5,1,No,Yes,Yes,0,1,0
C100017,41,Male,60,Month-to-month,25.59,1263.76,DSL,Electronic check,4,0,No,Yes,No,1,4,0
C100018,20,Male,46,Month-to-month,37.86,2049.3,DSL,Credit card,0,0,No,No,Yes,0,3,0
C100019,39,Female,5,Two year,55.76,6142.86,Fiber optic,Electronic check,1,1,Yes,No,Yes,0,5,0
C100020,70,Male,22,Month-to-month,102.34,5564.14,DSL,Mailed check,1,2,Yes,Yes,No,0,4,0
C100021,19,Female,53,Month-to-month,146.93,6226.0,Fiber optic,Bank transfer,2,2,Yes,Yes,No,0,4,1
C100022,41,Male,70,Month-to-month,35.32,2965.43,DSL,Mailed check,1,2,No,No,No,0,1,0
C100023,61,Male,32,Month-to-month,38.55,8117.62,Fiber optic,Bank transfer,5,1,Yes,No,Yes,0,4,0
C100024,47,Male,11,Month-to-month,67.95,4120.76,DSL,Mailed check,2,1,No,No,Yes,0,1,0
C100025,55,Female,10,Two year,128.71,4672.05,Fiber optic,Electronic check,3,0,,No,Yes,0,2,0
C100026,19,Male,39,Two year,80.74,8544.39,No,Mailed check,4,1,No,No,No,1,1,0
C100027,38,Male,31,One year,61.81,8815.57,No,Credit card,2,3,No,No,Yes,0,2,1
C100028,50,Female,12,One year,92.96,5987.73,Fiber optic,Credit card,0,0,No,Yes,No,1,2,1
C100029,29,Female,38,Two year,53.87,8508.84,No,Bank transfer,1,1,Yes,No,No,0,4,1
C100030,75,Female,67,One year,72.15,4919.42,Fiber optic,Bank transfer,1,2,No,Yes,Yes,0,2,1
C100031,39,Female,66,Month-to-month,63.24,2834.82,Fiber optic,Electronic check,2,0,Yes,Yes,No,1,4,0
C100032,61,Male,52,Month-to-month,124.54,2904.33,DSL,Mailed check,3,2,Yes,Yes,No,0,2,0
C100033,42,Female,5,Month-to-month,140.15,5074.57,No,Credit card,3,2,Yes,Yes,Yes,0,2,1
C100034,66,Male,11,Month-to-month,118.74,5484.82,DSL,Electronic check,1,2,No,Yes,Yes,0,2,0
C100035,44,Male,25,Month-to-month,77.08,4012.59,Fiber optic,Bank transfer,3,3,Yes,Yes,No,0,2,1
C100036,59,Female,35,Month-to-month,85.56,7965.57,Fiber optic,Electronic check,5,1,Yes,No,No,0,5,1
C100037,45,Male,35,Month-to-month,36.26,3897.6,Fiber optic,Bank transfer,2,0,No,Yes,No,0,4,0
C100038,33,Female,22,Month-to-month,117.09,2533.47,DSL,Bank transfer,0,2,Yes,No,No,0,3,0
C100039,32,Male,37,Month-to-month,97.54,171.04,Fiber optic,Electronic check,5,1,Yes,Yes,No,0,2,1
C100040,64,Female,55,Month-to-month,137.32,8738.07,Fiber optic,Mailed check,0,2,No,No,No,1,5,1
C100041,68,Female,72,One year,46.08,7436.39,DSL,Electronic check,3,0,Yes,No,Yes,0,3,0
C100042,61,Female,64,Month-to-month,118.76,5578.48,Fiber optic,Bank transfer,2,2,No,No,No,0,3,0
C100043,72,Female,20,Two year,109.01,7491.83,No,Credit card,1,0,No,Yes,Yes,0,5,0
C100044,69,Female,4,Two year,54.56,7311.57,No,Mailed check,2,1,Yes,Yes,Yes,0,3,1
C100045,74,Female,18,One year,106.76,8393.47,Fiber optic,Mailed check,3,1,No,Yes,Yes,1,4,0
C100046,20,Male,51,One year,140.17,3536.0,DSL,Credit card,2,2,Yes,Yes,Yes,1,3,0
C100047,54,Male,68,Two year,139.4,5038.18,Fiber optic,Mailed check,2,2,No,No,Yes,1,4,0
C100048,68,Male,20,Month-to-month,113.55,977.79,Fiber optic,Bank transfer,1,1,Yes,No,Yes,0,3,0
C100049,24,Female,9,Two year,26.25,8691.31,No,Electronic check,3,2,No,,Yes,1,3,1
C100050,38,Male,26,One year,133.39,,No,Bank transfer,4,3,No,Yes,Yes,0,2,0
C100051,26,Female,25,One year,105.51,7122.85,No,Mailed check,3,1,Yes,Yes,Yes,0,3,0
C100052,56,Male,68,Month-to-month,60.36,4141.68,Fiber optic,Credit card,1,0,No,Yes,No,0,2,0
C100053,35,Male,41,Month-to-month,44.34,4519.44,Fiber optic,Mailed check,1,1,Yes,No,Yes,0,4,0
C100054,21,Female,59,One year,35.11,3974.77,DSL,Bank transfer,1,1,No,Yes,Yes,0,3,0
C100055,42,Male,45,One year,26.53,2710.46,Fiber optic,Mailed check,0,2,Yes,Yes,Yes,0,2,0
C100056,31,Male,41,One year,118.03,4797.34,No,Mailed check,2,1,Yes,No,Yes,0,5,0
C100057,67,Male,38,Month-to-month,50.66,575.66,Fiber optic,Bank transfer,2,0,Yes,No,Yes,0,5,0
C100058,75,Female,19,Month-to-month,23.15,8927.79,Fiber optic,Mailed check,0,2,No,Yes,Yes,0,4,0
C100059,26,Male,14,Month-to-month,71.65,3874.05,DSL,Bank transfer,0,2,Yes,No,No,0,3,0
C100060,43,Female,21,Month-to-month,82.74,8353.56,DSL,Credit card,0,0,Yes,No,No,0,3,1
C100061,70,Male,15,Month-to-month,42.0,6546.02,Fiber optic,Mailed check,3,2,Yes,Yes,No,0,4,1
C100062,19,Male,3,Month-to-month,25.73,2680.49,No,Credit card,3,0,No,Yes,Yes,0,1,0
C100063,37,Male,37,Month-to-month,44.59,2076.27,DSL,Electronic check,1,0,Yes,No,No,0,1,0
C100064,45,Male,46,Month-to-month,108.28,8961.51,DSL,Mailed check,3,0,No,Yes,No,0,5,0
C100065,64,Female,16,Month-to-month,30.69,6971.92,Fiber optic,Electronic check,0,1,No,Yes,Yes,1,5,1
C100066,24,Male,14,Two year,92.15,2321.99,DSL,Credit card,5,0,Yes,Yes,No,0,2,1
C100067,61,Female,9,One year,,700.26,DSL,Credit card,2,0,Yes,No,Yes,0,1,0
C100068,25,Female,7,One year,45.44,6302.56,DSL,Bank transfer,1,1,No,No,Yes,0,4,0
C100069,64,Male,14,Month-to-month,71.1,2796.85,Fiber optic,Electronic check,3,3,No,Yes,Yes,0,4,1
C100070,52,Male,6,One year,33.11,2069.84,Fiber optic,Electronic check,2,0,No,Yes,No,0,1,0
C100071,31,Female,15,Month-to-month,42.52,6640.94,No,Bank transfer,1,1,Yes,Yes,Yes,0,4,0
C100072,34,Female,52,Two year,65.36,6145.43,Fiber optic,Electronic check,2,3,Yes,No,Yes,0,3,0
C100073,53,Male,72,One year,62.86,4384.57,Fiber optic,Credit card,2,1,No,No,No,0,5,0
C100074,67,Male,34,One year,117.41,8489.64,DSL,Credit card,2,0,Yes,Yes,No,1,5,0
C100075,57,Male,1,Two year,29.72,6148.78,Fiber optic,Credit card,1,1,Yes,Yes,No,0,1,0
C100076,21,Male,69,Month-to-month,131.86,8051.43,Fiber optic,Credit card,4,0,Yes,No,No,0,2,0
C100077,19,Male,20,Month-to-month,126.11,1795.92,DSL,Mailed check,3,2,No,No,No,1,3,1
